NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT06699368,Clinical Study on the Risk of Left Atrial POP Ablation and Esophageal Injury Under Ultra-High Power and Related Influencing Parameters,https://clinicaltrials.gov/study/NCT06699368,NOT_YET_RECRUITING,"Ultra-High Power Ablation,Safety of Atrial Fibrillation Ablation",PROCEDURE: The ultra-high-power ablation group|PROCEDURE: The high-power ablation group,The Third People's Hospital of Chengdu,,INTERVENTIONAL
NCT06699355,A Study to Evaluate the Drug-Drug Interaction Between Enlicitide Decanoate (MK-0616) and Atorvastatin in Healthy Adult Participants (MK-0616-024),https://clinicaltrials.gov/study/NCT06699355,COMPLETED,Healthy,DRUG: Enlicitide Decanoate|DRUG: Atorvastatin,Merck Sharp & Dohme LLC,,INTERVENTIONAL
NCT06699342,Pacing of Left Bundle Branch Area and Atroventricular Node AblatIon in Patients with Symptomatic Atrial Fibrillation,https://clinicaltrials.gov/study/NCT06699342,NOT_YET_RECRUITING,Atrial Fibrillation (AF),PROCEDURE: Pacemaker implantation with Left bundle branch area pacing (LBBAP)|PROCEDURE: Atrioventricular node ablation (AVNA)|DRUG: Pharmacologic therapy optimized for Atrial Fibrillation management,Seoul National University Hospital,,INTERVENTIONAL
NCT06699329,A Study of Enlicitide Decanoate (MK-0616) and Semaglutide in Healthy Adult Participants (MK-0616-023),https://clinicaltrials.gov/study/NCT06699329,COMPLETED,Healthy,DRUG: Enlicitide Decanoate|DRUG: Semaglutide,Merck Sharp & Dohme LLC,,INTERVENTIONAL
NCT06699316,Prognostic Counselling in Palliative Head and Neck Cancer (ProCoPall),https://clinicaltrials.gov/study/NCT06699316,ACTIVE_NOT_RECRUITING,Squamous Cell Carcinoma of Head and Neck,OTHER: Individualized prognostic counselling,Erasmus Medical Center,Dutch Cancer Society,INTERVENTIONAL
NCT06699303,Effect of Breast Milk on Diaper Dermatitis in Infants,https://clinicaltrials.gov/study/NCT06699303,COMPLETED,Diaper Dermatitis,OTHER: Use of diaper rash cream containing Hamamelis virginiana (potency 12mg/100g) 5.35 g / 100 g for infants in the control group in diaper dermatitis care,Sakarya University,,INTERVENTIONAL
NCT06699290,Orthodontic Clear Aligners Vs Conventional Fixed Appliance's Impact on Muscular Activities Among Adults Using SEMG (Surface Electromyography),https://clinicaltrials.gov/study/NCT06699290,NOT_YET_RECRUITING,Masseter Muscle Activity|Anterior Temporalis Muscle Activity,,Riyadh Elm University,,OBSERVATIONAL
NCT06699277,Chest Ultrasound Versus Chest X-ray with Ct As Gold Standard At Trauma Patients,https://clinicaltrials.gov/study/NCT06699277,NOT_YET_RECRUITING,Pneumothorax At Trauma Patients,,Assiut University,,OBSERVATIONAL
NCT06699264,Effects of Low-intensity Strength Training with Concomitant Blood Flow Restriction on Pain Perception in Patients with Anterior Cruciate Ligament Surgery,https://clinicaltrials.gov/study/NCT06699264,ACTIVE_NOT_RECRUITING,Anterior Cruciate Ligament Injury,OTHER: Blood Flow Restriction Training|OTHER: Training without BFR,Praxisklinik Rennbahn AG,,INTERVENTIONAL
NCT06699251,Effectiveness of Brief Intervention in Primary Care for Diverse Young People (Chat),https://clinicaltrials.gov/study/NCT06699251,RECRUITING,Adolescent Drinking|Cannabis Use,BEHAVIORAL: Chat|BEHAVIORAL: Enhanced Usual Care,RAND,AltaMed Health Services Corporation|University of Pittsburgh Medical Center|Patient-Centered Outcomes Research Institute,INTERVENTIONAL
NCT06699238,Effect of Aerobic Exercises on Axial Spondyloarthropathy,https://clinicaltrials.gov/study/NCT06699238,COMPLETED,Axial Spondyloarthritis (AxSpA)|Aerobic Exercise|Disease Activity,OTHER: Home Exercise|OTHER: Aerobic exercise,Yeşim Ozge Gunduz Gul,Ankara Diskapi Training and Research Hospital,INTERVENTIONAL
NCT06699225,Investigation of Knowledge and Practices Regarding Pediatric Osteoporosis in Türkiye,https://clinicaltrials.gov/study/NCT06699225,COMPLETED,Osteoporosis|Pediatric,,Fatih Sultan Mehmet Training and Research Hospital,,OBSERVATIONAL
NCT06699212,A Study of ASP-1929 Photoimmunotherapy in Combination with Pembrolizumab in First-line Treatment of Locoregional Recurrent Squamous Cell Carcinoma of the Head and Neck with No Distant Metastases,https://clinicaltrials.gov/study/NCT06699212,NOT_YET_RECRUITING,Recurrent Head and Neck Squamous Cell Carcinoma,COMBINATION_PRODUCT: ASP-1929 Photoimmunotherapy|BIOLOGICAL: Pembrolizumab|DRUG: Carboplatin|DRUG: Cisplatin|DRUG: 5-fluorouracil|DRUG: Paclitaxel|DRUG: Docetaxel,"Rakuten Medical, Inc.",,INTERVENTIONAL
NCT06699199,Effect of Silver Diamine Fluoride Application on Oral Microbiome of Healthy Pediatric Patient,https://clinicaltrials.gov/study/NCT06699199,RECRUITING,Dental Caries,DRUG: Silver diamine Fluoride 38%|DRUG: Silver diamine fluoride- potassium iodide,King Abdulaziz University,King Fahd Medical Research Centre,INTERVENTIONAL
NCT06699186,Sleep and Delayed-onset Muscle Soreness,https://clinicaltrials.gov/study/NCT06699186,COMPLETED,Delayed-onset Muscle Soreness|Sleep|Pain,OTHER: Sleep|OTHER: Non-sleep,Selcuk University,,INTERVENTIONAL
NCT06699173,Effect of Heat Aplication to Patients During Cystoscopy Procedure,https://clinicaltrials.gov/study/NCT06699173,COMPLETED,Urological Nursing,OTHER: Heat ped,Emine Karakaya,,INTERVENTIONAL
NCT06699160,Refobacin Revision-3 Bone Cement Post-Market Study,https://clinicaltrials.gov/study/NCT06699160,NOT_YET_RECRUITING,Revision Arthroplasty,DEVICE: Revision arthroplasty,Zimmer Biomet,,OBSERVATIONAL
NCT06699147,Evaluate the Post-marketing Efficacy and Safety of Eptq S and Eptq Lidocaine S,https://clinicaltrials.gov/study/NCT06699147,COMPLETED,Nasolabial Folds|Mid Face Volume Loss|Lip Volume Enhancement,DEVICE: Hyaluronic Acid (HA),"Jetema Co., Ltd.",,OBSERVATIONAL
NCT06699134,Hi-Fatigue G Bone Cement Retrospective Study,https://clinicaltrials.gov/study/NCT06699134,RECRUITING,Total Hip and Knee Arthroplasties,DEVICE: Total knee arthroplasty|DEVICE: Total Hip arthroplasty,Zimmer Biomet,,OBSERVATIONAL
NCT06699121,A Study to Assess the Safety and Efficacy of LB-P8 in Patients With PSC,https://clinicaltrials.gov/study/NCT06699121,NOT_YET_RECRUITING,Primary Sclerosing Cholangitis (PSC),DRUG: LB-P8 low-dose|DRUG: LB-P8 high-dose|DRUG: Placebo,LISCure Biosciences,,INTERVENTIONAL
NCT06699108,Study to Evaluate the Efficacy and Safety of VGR-R01 Gene Therapy in Patients with Bietti Crystalline Dystrophy,https://clinicaltrials.gov/study/NCT06699108,NOT_YET_RECRUITING,Bietti Crystalline Dystrophy|Inherited Retinal Diseases,DRUG: VGR-R01,"Shanghai Vitalgen BioPharma Co., Ltd.",,INTERVENTIONAL
NCT06699095,Home Rehabilitation As Continuity of Care in MS,https://clinicaltrials.gov/study/NCT06699095,RECRUITING,Multiple Sclerosis,DEVICE: Telerehabilitation,Fondazione I.R.C.C.S. Istituto Neurologico Carlo Besta,Istituto Auxologico Italiano|Fondazione Don Carlo Gnocchi Onlus,INTERVENTIONAL
NCT06699082,Kinesiotaping With Kaltenborn Mobilization Effects on Adhesive Capsulitis Recovery.,https://clinicaltrials.gov/study/NCT06699082,COMPLETED,Adhesive Capsulitis of Shoulder,OTHER: KinesioTaping and Keltonborn Mobilization,Riphah International University,,INTERVENTIONAL
NCT06699069,Effect of Exercise on Irisin Levels of Hypothyroid Rats,https://clinicaltrials.gov/study/NCT06699069,COMPLETED,Hypothyroidism,OTHER: Control or Euthyroid group|OTHER: Hypothyroid group|OTHER: Hypothyroid group received exercise,Riphah International University,,INTERVENTIONAL
NCT06699056,AI-Enabled Direct-from-ECG Ejection Fraction (EF) Severity Assessment Using COR ECG Wearable Monitor,https://clinicaltrials.gov/study/NCT06699056,ENROLLING_BY_INVITATION,"Ventricular Ejection Fraction|LVF|LV Dysfunction|Atrial Enlargement|Conduction Defect|Heart Failure|Valvular Heart Disease|Ischemic Heart Disease|Cardiotoxicity|Myocardial Infarction|Dilated Cardiomyopathy|HFrEF - Heart Failure with Reduced Ejection Fraction|HFpEF - Heart Failure with Preserved Ejection Fraction|Syncope|Remodeling, Cardiac",DEVICE: 15-minutes of sitting during COR ECG Acquistion,"Peerbridge Health, Inc",,OBSERVATIONAL
NCT06699043,Study of Two Different Putty Bone Grafts in Treatment of Intrabony Defects with the Aid of Intramarrow Penetration Technique,https://clinicaltrials.gov/study/NCT06699043,ACTIVE_NOT_RECRUITING,Intrabony Defects in Chronic Periodontitis,PROCEDURE: nanocrystalline hydroxyapatite in putty form|PROCEDURE: Demineralized Bone Matrix allograft putty,Afaf Mansour Dao Abdelslam,,INTERVENTIONAL
NCT06699030,A Strategy for Gallstone Expulsion Through Dietary Therapy,https://clinicaltrials.gov/study/NCT06699030,NOT_YET_RECRUITING,Gallbladder Stone,DRUG: Functional fatty acids|OTHER: Placebo,Hepatopancreatobiliary Surgery Institute of Gansu Province,,INTERVENTIONAL
NCT06699017,Effect of Continuous Anterior Chest Compression on Ventilation/Perfusion Ratio and Hemodynamics,https://clinicaltrials.gov/study/NCT06699017,RECRUITING,Acute Respiratory Distress Syndrome,OTHER: Continuous anterior chest compression,Assistance Publique - Hôpitaux de Paris,,INTERVENTIONAL
NCT06699004,Diagnosis of Delirium and Assessment of Sleep Quality in Patients in the Anesthesia and Intensive Care Unit,https://clinicaltrials.gov/study/NCT06699004,COMPLETED,Delirium and Insomnia,,Sakarya University,,OBSERVATIONAL
NCT06698991,Daily Versus Alternate Day Plasma Exchange in Wilson Disease With Acute Liver Failure in Children,https://clinicaltrials.gov/study/NCT06698991,NOT_YET_RECRUITING,Acute Liver Failure|Wilson Disease,BIOLOGICAL: Plasma Exchange|OTHER: Standard Medical Treatment,"Institute of Liver and Biliary Sciences, India",,INTERVENTIONAL
NCT06698978,Simplified Technique in Removable Complete Prosthesis Versus Conventional Technique in Edentulous Patients,https://clinicaltrials.gov/study/NCT06698978,NOT_YET_RECRUITING,Complete Edentulism,OTHER: Simplified protocol (PS)/Conventional protocol (PC)|OTHER: Conventional protocol (PC)/Simplified protocol (PS),Assistance Publique - Hôpitaux de Paris,,INTERVENTIONAL
NCT06698965,"Efficacy and Safety of First-line Treatment for Extensive-stage Small Cell Lung Cancer Using a Combination Therapy of Trilaciclib, Envafolimab, Etoposide, and Carboplatin",https://clinicaltrials.gov/study/NCT06698965,RECRUITING,"Lung Cancer, Small Cell",DRUG: Chemotherapy （Etoposide and Carboplatin）|DRUG: Immunotherapy （Envafolimab）|DRUG: Trilaciclib,Shanghai Chest Hospital,"Jiangsu Simcere Pharmaceutical Co., Ltd.",INTERVENTIONAL
NCT06698952,Evaluation of a Chatbot-Delivered Structured Psychological Intervention for Teenagers With Adolescent Idiopathic Scoliosis,https://clinicaltrials.gov/study/NCT06698952,NOT_YET_RECRUITING,Adolescent Idiopathic Scoliosis (AIS)|Psychological Health,OTHER: Intervention Group|OTHER: control group,The Hong Kong Polytechnic University,,INTERVENTIONAL
NCT06698939,ORKA-001 in Healthy Volunteers,https://clinicaltrials.gov/study/NCT06698939,NOT_YET_RECRUITING,Healthy Volunteers,DRUG: ORKA-001|OTHER: Placebo,"Oruka Therapeutics, Inc.",,INTERVENTIONAL
NCT06698926,"A Study to Assess the Safety, Tolerability, and Interactions of ABBV-CLS-616 Oral Tablets in Healthy Adult Participants",https://clinicaltrials.gov/study/NCT06698926,RECRUITING,Healthy Volunteer,DRUG: ABBV-CLS-616|DRUG: Placebo|DRUG: Itraconazole,AbbVie,Calico Life Sciences LLC,INTERVENTIONAL
NCT06698913,Feasibility and Efficacy of Automated Lateral Decubitus Therapy in Hypoxemic Respiratory Failure,https://clinicaltrials.gov/study/NCT06698913,ACTIVE_NOT_RECRUITING,Respiratory Insufficiency|ARDS|Post Cardiac Surgery Patients|Hypoxemic Respiratory Failure,PROCEDURE: Rotational Therapy,University of Sao Paulo General Hospital,,INTERVENTIONAL
NCT06698900,This Project Aims to Understand the Needs of Rheumatologists and Other Specialties in the Care of Patients With SLE,https://clinicaltrials.gov/study/NCT06698900,NOT_YET_RECRUITING,Systemic Lupus Erythematosus,,AstraZeneca,,OBSERVATIONAL
NCT06698887,A Study to Evaluate the Long-Term Safety of Idecabtagene Vicleucel Treatment in Adults With Newly Diagnosed Multiple Myeloma in Korea,https://clinicaltrials.gov/study/NCT06698887,RECRUITING,Multiple Myeloma,DRUG: Idecabtagene vicleucel,Bristol-Myers Squibb,,OBSERVATIONAL
NCT06698874,MCE Identifying Bleeding Lesions in Patients with Antiplatelet Drugs-Related Acute Non-Hematochezia Gastrointestinal Bleeding,https://clinicaltrials.gov/study/NCT06698874,NOT_YET_RECRUITING,Gastrointestinal Bleeding|Antiplatelet Therapy,OTHER: ds-MCE and EGD examinations,Changhai Hospital,First Affiliated Hospital Xi'an Jiaotong University|Qilu Hospital of Shandong University,INTERVENTIONAL
NCT06698861,A Phase I PK/PD Study of PEG-MetHuG-CSF (P2203) in Healthy Volunteers,https://clinicaltrials.gov/study/NCT06698861,ENROLLING_BY_INVITATION,PK in Healthy Volunteers,DRUG: PEG-MetHuG-CSF|DRUG: Neulasta (Amgen),PharmaEssentia,Novotech CRO,INTERVENTIONAL
NCT06698848,Integrating Ketamine Effects on Neuronal Molecular Signatures and the Brain Functional and Structural Connectome,https://clinicaltrials.gov/study/NCT06698848,NOT_YET_RECRUITING,Depression|Suicide,DRUG: ketamin,Massachusetts General Hospital,,INTERVENTIONAL
NCT06698835,Turnip Consumption and Qigong Exercise Program on Weight Loss,https://clinicaltrials.gov/study/NCT06698835,ENROLLING_BY_INVITATION,"Obesity, Adolescent",DIETARY_SUPPLEMENT: Turnip Consumption,Assiut University,King Faisal University,INTERVENTIONAL
NCT06698822,"A Phase 2 Trial to Assess Safety and Efficacy of Tofacitinib 2% Cream in the Treatment of Cutaneous T-cell Lymphoma (CTCL), Stages IA, IB, and IIA",https://clinicaltrials.gov/study/NCT06698822,NOT_YET_RECRUITING,Cutaneous T-Cell Lymphoma,DRUG: tofacitinib 2% cream,M.D. Anderson Cancer Center,,INTERVENTIONAL
NCT06698809,Obstructive Sleep Apnea Therapeutic Intervention for REsiDual Sleepiness,https://clinicaltrials.gov/study/NCT06698809,NOT_YET_RECRUITING,Obstructive Sleep Apnea|Sleepiness,DEVICE: Active tPBM,NYU Langone Health,American Academy of Sleep Medicine Foundation,INTERVENTIONAL
NCT06698796,A Study to Understand How the Study Medicine Dazukibart Works in People With Idiopathic Inflammatory Myopathies,https://clinicaltrials.gov/study/NCT06698796,NOT_YET_RECRUITING,Dermatomyositis|Polymyositis,DRUG: Dazukibart,Pfizer,,INTERVENTIONAL
NCT06698783,Practical Application and Evaluation of Fortimel in Oncology Patients,https://clinicaltrials.gov/study/NCT06698783,NOT_YET_RECRUITING,Cancer,DIETARY_SUPPLEMENT: Fortimel,Peking Union Medical College Hospital,,INTERVENTIONAL
NCT06698770,Leveraging Behavioral Science to Improve Medicine Optimization Conversations with Older Adults,https://clinicaltrials.gov/study/NCT06698770,ENROLLING_BY_INVITATION,Deprescribing,OTHER: Anticipated long-term use of medication|OTHER: Period re-evaluation of medication,University of Michigan,University of Sydney,INTERVENTIONAL
NCT06698757,"Different Cycles of Preoperative Neoadjuvant Sintilimab in Mismatch-repair Deficient/Microsatellite Instability-high, Locally Advanced Colorectal Cancer",https://clinicaltrials.gov/study/NCT06698757,NOT_YET_RECRUITING,Colorectal Cancer,BIOLOGICAL: Sintilimab,Yugui Lian,,INTERVENTIONAL
NCT06698744,UF-KURE-BCMA CAR-T Cells in Patients with Relapsed or Refractory Multiple Myeloma,https://clinicaltrials.gov/study/NCT06698744,NOT_YET_RECRUITING,"Multiple Myeloma|Multiple Myeloma in Relapse|Multiple Myeloma, Refractory",BIOLOGICAL: UF-KURE-BCMA CAR T-cells|DRUG: Cyclophosphamide|DRUG: Fludarabine,David Wald,,INTERVENTIONAL
NCT06698731,[Trial of device that is not approved or cleared by the U.S. FDA],https://clinicaltrials.gov/study/NCT06698731,WITHHELD,,,[Redacted],,
NCT06698718,Application of CIELab Spectrophotometry to Analyze Gingival Color: a New Perspective for Evaluating the Effectiveness of Periodontal Basic Treatment,https://clinicaltrials.gov/study/NCT06698718,RECRUITING,Periodontitis,PROCEDURE: Periodontal basic treatment,"Second Affiliated Hospital, School of Medicine, Zhejiang University",,INTERVENTIONAL
NCT06698705,The EEG Study Under Remimazolam Anesthesia in Children,https://clinicaltrials.gov/study/NCT06698705,NOT_YET_RECRUITING,Electroencephalography|Remimazolam|Child Neglect,,Second Affiliated Hospital of Wenzhou Medical University,,OBSERVATIONAL
NCT06698692,Trilaciclib for the Prevention of Chemoradiotherapy-Induced Myelosuppression in Esophageal Squamous Cell Carcinoma,https://clinicaltrials.gov/study/NCT06698692,RECRUITING,ESCC,DRUG: Trilaciclib Injection [Cosela],The First Affiliated Hospital with Nanjing Medical University,,OBSERVATIONAL
NCT06698679,"The Association Between Plasma Metabolites and the Risk, Efficacy and Prognosis in Early Breast Cancer",https://clinicaltrials.gov/study/NCT06698679,RECRUITING,Breast Cancer,OTHER: No intervention,Shengjing Hospital,,OBSERVATIONAL
NCT06698666,Efficacy of Statins Among Major Depressive Disorder,https://clinicaltrials.gov/study/NCT06698666,RECRUITING,Major Depressive Disorder|MDD,DRUG: Rosuvastatin 10 mg tablet.|DRUG: Sertraline Pill,Ain Shams University,Ain Shams University hospitals,INTERVENTIONAL
NCT06698653,Assessment of the Benefit of the Mobility Assistance System (SAM) on Transfer Independence for a Reimbursement Request,https://clinicaltrials.gov/study/NCT06698653,NOT_YET_RECRUITING,No Specific Condition Targeted,"DEVICE: SAM device (experimental): a removable structure, fixed to the horizontal frame of the medical bed, equipped with a handle to assist the sitting-up process|DEVICE: Over bed pole hoist (control device)",WINNCARE,PÃ´le Saint HÃ©lier,INTERVENTIONAL
NCT06698640,A Trial of Text-Message-Based Engagement for Well-Child Visits,https://clinicaltrials.gov/study/NCT06698640,NOT_YET_RECRUITING,Well Child Visit|Gaps in Care,BEHAVIORAL: Automated SMS|BEHAVIORAL: Automated SMS + Scheduling Assistance,Waymark,,INTERVENTIONAL
NCT06698627,Comparison of Two Over the Counter Intravaginal Devices for the Treatment of Stress Urinary Incontinence,https://clinicaltrials.gov/study/NCT06698627,NOT_YET_RECRUITING,Stress Urinary Incontinence in Women,DEVICE: Daily Disposable Continence Device|DEVICE: Monthly Disposable Continence Device,Vanderbilt University Medical Center,,INTERVENTIONAL
NCT06698614,MEMRI and Kidney Disease,https://clinicaltrials.gov/study/NCT06698614,RECRUITING,Acute Kidney Injury|Kidney Transplant|Vasculitis|Chronic Kidney Disease(CKD),DIAGNOSTIC_TEST: MRI|DIAGNOSTIC_TEST: Blood tests|DIAGNOSTIC_TEST: Urine tests|DIAGNOSTIC_TEST: Cardiovascular analysis,University of Edinburgh,NHS Lothian,OBSERVATIONAL
NCT06698601,Wild Blueberries in Colitis,https://clinicaltrials.gov/study/NCT06698601,RECRUITING,Ulcerative Colitis (UC)|Crohn Disease (CD),DIETARY_SUPPLEMENT: blueberry-rich diet|OTHER: Control diet,Universität Duisburg-Essen,UniversitÃ¤t Duisburg-Essen|German Crohn's and Colitis Association (DCCV e.V.)|Wilhelm Doerenkamp Foundation,INTERVENTIONAL
NCT06698588,Symptom-specific Effects of Omega-3 Across Neurodevelopmental Symptoms,https://clinicaltrials.gov/study/NCT06698588,RECRUITING,Sleep|Autism or Autistic Traits|ADHD or ADHD Traits,DIETARY_SUPPLEMENT: Omega 3 Fish Oil supplements|DIETARY_SUPPLEMENT: Placebo,Swansea University,,INTERVENTIONAL
NCT06698575,"A Study to Assess the Safety, Pharmacokinetics, and Tolerability of ABI-1179 in Healthy Subjects and in Subjects Seropositive for HSV-2 with Recurrent Genital Herpes",https://clinicaltrials.gov/study/NCT06698575,NOT_YET_RECRUITING,Recurrent Genital Herpes Simplex Type 2,DRUG: ABI-1179|DRUG: ABI-1179 Placebo,Assembly Biosciences,,INTERVENTIONAL
NCT06698562,Virtual Reality and Laser Biostimulation on Pain Perception and Dental Anxiety,https://clinicaltrials.gov/study/NCT06698562,COMPLETED,Dental Anxiety|Pain Intensity Assessment,OTHER: Distraction with Virtual reality glassess|OTHER: Distraction with Virtual reality glassess + LLLT|OTHER: Tell Show Do Group + LLLT|OTHER: Tell Show Do Group,SIRIN GUNER ONUR,,INTERVENTIONAL
NCT06698549,"A Study to Evaluate the Pharmacokinetics, Safety and Tolerability of ALG-097558 in Subjects with Renal Impairment and in Healthy Subjects with Normal Renal Function",https://clinicaltrials.gov/study/NCT06698549,NOT_YET_RECRUITING,COVID 19,DRUG: ALG-097558,Aligos Therapeutics,National Institute of Allergy and Infectious Diseases (NIAID),INTERVENTIONAL
NCT06698536,"OBPM_COYOTE2024 Physiological Data Recording with the Calibration-free Optical Aktiia G2C Device At Fingertip and Wrist, Alongside the Aktiia Oscillometric Cuff",https://clinicaltrials.gov/study/NCT06698536,NOT_YET_RECRUITING,Hypertension,DEVICE: Aktiia G2C,Aktiia SA,,INTERVENTIONAL
NCT06698523,To Assess Breathing Exercise as a Relaxation Method,https://clinicaltrials.gov/study/NCT06698523,COMPLETED,Dental Anxiety,BEHAVIORAL: Breathing exercise|BEHAVIORAL: Deep breathing,Ain Shams University,,INTERVENTIONAL
NCT06698510,Introduction of Arpraziquantel Treatment for Schistosomiasis Control in Preschool-aged Children in Endemic Areas: a Small-scale Public Health Intervention Study,https://clinicaltrials.gov/study/NCT06698510,NOT_YET_RECRUITING,Schistosomiasis,DRUG: Arpraziquantel 150mg dispersible tablet,Peter Steinmann,"Unlimit Health, London, UK|Technical University Munchen|Makerere University|African Institute for Health and Development, Kenya|Kenya Medical Research Institute|Kenya Ministry of Health|Ministry of Health, Uganda|Ministère de la Santé, de l'Hygiène Publique et de la Couverture Maladie Universelle, Côte d'Ivoire|Université Félix Hophouët-Boigny, Abidjan, Côte d'Ivoire",OBSERVATIONAL
NCT06698497,Boosting COVID-19 Vaccination Uptake Using Wastewater Surveillance,https://clinicaltrials.gov/study/NCT06698497,ACTIVE_NOT_RECRUITING,Vaccine Uptake,BEHAVIORAL: Communication Campaign,Syracuse University,,INTERVENTIONAL
NCT06698484,To Evaluate Safety and Efficacy of Autologous CD19 Chimeric Antigen Receptor (CAR)-T Cells in Relapsed/Refractory B- Non-Hodgkin Lymphoma (B-NHL),https://clinicaltrials.gov/study/NCT06698484,RECRUITING,Relapsed/Refractory B- Cell Non-Hodgkin Lymphoma,DRUG: CAR-T cells,National University of Malaysia,Plutonet Sdn Bhd,INTERVENTIONAL
NCT06698471,Relief From Stress Via Social Protection in Senegal,https://clinicaltrials.gov/study/NCT06698471,NOT_YET_RECRUITING,"Distress, Psychological|Depression - Major Depressive Disorder|Generalized Anxiety Disorder (GAD)",OTHER: Community worker training|OTHER: Referral to Health System,Georgetown University,World Bank|Centre de Recherche Pour le Développement Economique et Social (CRDES),INTERVENTIONAL
NCT06698458,Alpha Radiation Emitters Device for the Treatment of Pancreatic Cancer Emitters With Chemotherapy for the Treatment of Locally Advanced and Metastatic Pancreatic Cancer,https://clinicaltrials.gov/study/NCT06698458,NOT_YET_RECRUITING,Pancreatic Cancer|Pancreatic Adenocarcinoma|Metastatic Pancreatic Cancer,DEVICE: Radiation: Diffusing Alpha Radiation Emitters Therapy (DaRT),Alpha Tau Medical LTD.,,INTERVENTIONAL
NCT06698445,Effect of Short Film Video Training Prepared for Children Undergoing Bone Marrow Aspiration and Biopsy,https://clinicaltrials.gov/study/NCT06698445,NOT_YET_RECRUITING,Anxiety and Fear|Pain|Satisfaction,OTHER: Short film video,Tarsus University,,INTERVENTIONAL
NCT06698432,SHR Predicts CMD in Patients with CCS,https://clinicaltrials.gov/study/NCT06698432,COMPLETED,Coronary Microvascular Dysfunction (CMD)|Index of Microvascular Resistance|Chronic Coronary Syndrome|Prognosis,DEVICE: caIMR,Ya-Wei Xu,,OBSERVATIONAL
NCT06698419,RADA16 on Mastoid Cavity Epithelialization,https://clinicaltrials.gov/study/NCT06698419,NOT_YET_RECRUITING,Delayed Wound Healing,DEVICE: RADA16 gel application into mastoid cavity,University of Florida,3-D Matrix Medical Technology,INTERVENTIONAL
NCT06698406,"Transcultural Validation of the French Version of the "" Patients' Endorsement of a Biopsychosocial Model of Chronic Pain "" Scale",https://clinicaltrials.gov/study/NCT06698406,RECRUITING,"Pain, Chronic",,Benno Rehberg-Klug,,OBSERVATIONAL
NCT06698393,Different Suture Diameters in Periodontal Plastic Surgery,https://clinicaltrials.gov/study/NCT06698393,NOT_YET_RECRUITING,Gingival Recession,PROCEDURE: Suture 3.0 Group|PROCEDURE: Suture 6.0 Group,G. d'Annunzio University,,INTERVENTIONAL
NCT06698380,The Effect of Mirror Therapy on Upper Extremity Motor Function in Stroke Rehabilitation,https://clinicaltrials.gov/study/NCT06698380,RECRUITING,Stroke|Chronic Stroke Patients|Hemiplegia,OTHER: Conventional Physical Therapy|OTHER: Mirror Therapy,University of Jazan,King Saud Medical City,INTERVENTIONAL
NCT06698367,Unilateral Training of the Uninjured Limb on Clinical Outcomes in Patients with Surgically Treated Radius Fracture,https://clinicaltrials.gov/study/NCT06698367,NOT_YET_RECRUITING,Wrist Fractures|Distal Radius Fractures,OTHER: Standard rehabilitation|OTHER: Unilateral high-intensity strength exercise|OTHER: Unilateral mobility exercises,Universidad Catolica de Temuco,,INTERVENTIONAL
NCT06698354,"Cost-Effectiveness Analysis of a Virtual Reality-Assisted Hypnotherapy Program on Quality of Life in Patients with Chronic Low Back Pain: a Multicenter, Randomized, Prospective, Comparative, Open-Label, Parallel-Group Study",https://clinicaltrials.gov/study/NCT06698354,NOT_YET_RECRUITING,Chronic Pain|Low Back Pain|Chronic Low Back Pain (CLBP),DEVICE: Virtual Reality-Assisted Hypnotherapy|OTHER: Standard Physical Therapy,University of Beykent,,INTERVENTIONAL
NCT06698341,UNdeRstAnding Novel Variants in AcutE MyocardiaL Infarction in Young Adults,https://clinicaltrials.gov/study/NCT06698341,RECRUITING,"Myocardial Infarction, Acute",PROCEDURE: Blood Draw,National Heart Centre Singapore,,OBSERVATIONAL
NCT06698328,FMRI Tracking TaVNS in ASD,https://clinicaltrials.gov/study/NCT06698328,NOT_YET_RECRUITING,Autistic Spectrum Disorders,DEVICE: Transauricular Vagus Nerve Stimulation|DEVICE: Sham Stimulation,Medical University of South Carolina,MUSC COBRE in Neurodevelopment and its Disorders (CNDD) Pilot Projects Program (PPP),INTERVENTIONAL
NCT06698315,Evidence-based Approach to Reduce Falls in Adult Patients,https://clinicaltrials.gov/study/NCT06698315,RECRUITING,Falls with Injuries,OTHER: Observation,Methodist Health System,,OBSERVATIONAL
NCT06698302,Validation of COMPAT-SF Spanish Translation,https://clinicaltrials.gov/study/NCT06698302,RECRUITING,Chronic Pancreatitis,BEHAVIORAL: Questionnaires,Methodist Health System,Aalborg University Hospital,OBSERVATIONAL
NCT06698289,Preoperative Sarcopenia and Surgical Outcomes in Colorectal Cancer Patients,https://clinicaltrials.gov/study/NCT06698289,RECRUITING,Sarcopenia|Colon Cancer|Rectal Cancer|Surgical Outcomes,,Mersin University,,OBSERVATIONAL
NCT06698276,Performance of Next-X in Alveolar Ridge Preservation,https://clinicaltrials.gov/study/NCT06698276,NOT_YET_RECRUITING,Hopeless Tooth,OTHER: Alveolar Ridge Reconstruction,University of Sao Paulo,,INTERVENTIONAL
